"Sequence"	"Value"	"Rep"	"Line"
"1"	"ABCC3_11-I"	0.932429969	1	"MM001"
"2"	"ABCC3_11-I==mut_AP1"	0.852875782	1	"MM001"
"3"	"ABCC3_11-I==mut_ZEB"	1.05964688	1	"MM001"
"4"	"COL5A1_-17-D"	1.223306998	1	"MM001"
"5"	"COL5A1_-17-D==mut_AP1"	1.154944816	1	"MM001"
"6"	"COL5A1_-17-D==mut_ZEB"	1.388213946	1	"MM001"
"7"	"GPR39_23-I"	1.041653471	1	"MM001"
"8"	"GPR39_23-I==mut_AP1"	1.158208206	1	"MM001"
"9"	"MLANA_5-I"	124.9289666	1	"MM001"
"10"	"MLANA_5-I==mut_MITF"	1.365358652	1	"MM001"
"11"	"MLANA_5-I==mut_SOX"	13.76141233	1	"MM001"
"12"	"MLANA_5-I==mut_ZEB"	139.649175	1	"MM001"
"13"	"IRF4_4-I"	4.97563967	1	"MM001"
"14"	"IRF4_4-I==mut_MITF"	1.257726898	1	"MM001"
"15"	"IRF4_4-I==mut_SOX"	1.39379287	1	"MM001"
"16"	"IRF4_4-I==mut_ZEB"	20.93011552	1	"MM001"
"17"	"TYR_-9-D"	14.37348766	1	"MM001"
"18"	"TYR_-9-D==mut_SOX"	1.154430202	1	"MM001"
"19"	"SOX10_15-3UA"	1.169610392	1	"MM001"
"20"	"SOX10_15-3UA==mut_ZEB"	1.371448237	1	"MM001"
"21"	"SOX10_15-3UA==mut_SOX-ZEB"	1.245173149	1	"MM001"
"22"	"SOX10_-56-DA"	1.539013258	1	"MM001"
"23"	"SOX10_-56-DA==mut_ZEB"	2.452301132	1	"MM001"
"24"	"SOX10_-56-DA==mut_MITF-ZEB"	2.366152175	1	"MM001"
"25"	"ABCC3_11-I"	0.860857088	2	"MM001"
"26"	"ABCC3_11-I==mut_AP1"	0.842897917	2	"MM001"
"27"	"ABCC3_11-I==mut_ZEB"	0.925890055	2	"MM001"
"28"	"COL5A1_-17-D"	0.962668347	2	"MM001"
"29"	"COL5A1_-17-D==mut_AP1"	0.96140522	2	"MM001"
"30"	"COL5A1_-17-D==mut_ZEB"	1.07633436	2	"MM001"
"31"	"GPR39_23-I"	0.882682305	2	"MM001"
"32"	"GPR39_23-I==mut_AP1"	0.913963578	2	"MM001"
"33"	"MLANA_5-I"	59.56148702	2	"MM001"
"34"	"MLANA_5-I==mut_MITF"	1.007605444	2	"MM001"
"35"	"MLANA_5-I==mut_SOX"	5.388902073	2	"MM001"
"36"	"MLANA_5-I==mut_ZEB"	84.34148452	2	"MM001"
"37"	"IRF4_4-I"	1.343298843	2	"MM001"
"38"	"IRF4_4-I==mut_MITF"	0.906858885	2	"MM001"
"39"	"IRF4_4-I==mut_SOX"	1.003020761	2	"MM001"
"40"	"IRF4_4-I==mut_ZEB"	2.693980142	2	"MM001"
"41"	"TYR_-9-D"	4.056166795	2	"MM001"
"42"	"TYR_-9-D==mut_SOX"	1.168821987	2	"MM001"
"43"	"SOX10_15-3UA"	0.952804674	2	"MM001"
"44"	"SOX10_15-3UA==mut_ZEB"	0.986759472	2	"MM001"
"45"	"SOX10_15-3UA==mut_SOX-ZEB"	0.999807469	2	"MM001"
"46"	"SOX10_-56-DA"	1.006097624	2	"MM001"
"47"	"SOX10_-56-DA==mut_ZEB"	1.090821436	2	"MM001"
"48"	"SOX10_-56-DA==mut_MITF-ZEB"	1.095730567	2	"MM001"
"49"	"ABCC3_11-I"	1.098276023	3	"MM001"
"50"	"ABCC3_11-I==mut_AP1"	1.045726439	3	"MM001"
"51"	"ABCC3_11-I==mut_ZEB"	1.07904293	3	"MM001"
"52"	"COL5A1_-17-D"	1.07900782	3	"MM001"
"53"	"COL5A1_-17-D==mut_AP1"	1.035420793	3	"MM001"
"54"	"COL5A1_-17-D==mut_ZEB"	1.101855791	3	"MM001"
"55"	"GPR39_23-I"	1.019655104	3	"MM001"
"56"	"GPR39_23-I==mut_AP1"	1.027066091	3	"MM001"
"57"	"MLANA_5-I"	37.85492237	3	"MM001"
"58"	"MLANA_5-I==mut_MITF"	1.062073403	3	"MM001"
"59"	"MLANA_5-I==mut_SOX"	4.357249261	3	"MM001"
"60"	"MLANA_5-I==mut_ZEB"	51.28725708	3	"MM001"
"61"	"IRF4_4-I"	1.208126751	3	"MM001"
"62"	"IRF4_4-I==mut_MITF"	0.989147683	3	"MM001"
"63"	"IRF4_4-I==mut_SOX"	1.031292933	3	"MM001"
"64"	"IRF4_4-I==mut_ZEB"	1.919760451	3	"MM001"
"65"	"TYR_-9-D"	3.081931338	3	"MM001"
"66"	"TYR_-9-D==mut_SOX"	1.079918315	3	"MM001"
"67"	"SOX10_15-3UA"	0.949496293	3	"MM001"
"68"	"SOX10_15-3UA==mut_ZEB"	0.985346815	3	"MM001"
"69"	"SOX10_15-3UA==mut_SOX-ZEB"	0.97574137	3	"MM001"
"70"	"SOX10_-56-DA"	0.98568592	3	"MM001"
"71"	"SOX10_-56-DA==mut_ZEB"	1.012081921	3	"MM001"
"72"	"SOX10_-56-DA==mut_MITF-ZEB"	1.015467533	3	"MM001"
"73"	"MLANA_5-I"	50.06529492	4	"MM001"
"74"	"MLANA_5-I==mut_MITF"	1.188374201	4	"MM001"
"75"	"MLANA_5-I==mut_SOX"	5.381567808	4	"MM001"
"76"	"MLANA_5-I==mut_ZEB"	72.15925524	4	"MM001"
"77"	"IRF4_4-I"	3.548185908	4	"MM001"
"78"	"IRF4_4-I==mut_MITF"	1.090562195	4	"MM001"
"79"	"IRF4_4-I==mut_SOX"	1.052646245	4	"MM001"
"80"	"IRF4_4-I==mut_ZEB"	8.520205515	4	"MM001"
"81"	"ABCC3_11-I"	1.476522193	1	"MM099"
"82"	"ABCC3_11-I==mut_AP1"	1.181386521	1	"MM099"
"83"	"ABCC3_11-I==mut_ZEB"	1.329935183	1	"MM099"
"84"	"COL5A1_-17-D"	1.160452417	1	"MM099"
"85"	"COL5A1_-17-D==mut_AP1"	1.066446643	1	"MM099"
"86"	"COL5A1_-17-D==mut_ZEB"	1.115799357	1	"MM099"
"87"	"GPR39_23-I"	1.8365089	1	"MM099"
"88"	"GPR39_23-I==mut_AP1"	1.104318139	1	"MM099"
"89"	"MLANA_5-I"	1.138701067	1	"MM099"
"90"	"MLANA_5-I==mut_MITF"	1.059524891	1	"MM099"
"91"	"MLANA_5-I==mut_SOX"	1.088282671	1	"MM099"
"92"	"MLANA_5-I==mut_ZEB"	1.065696349	1	"MM099"
"93"	"IRF4_4-I"	1.015644025	1	"MM099"
"94"	"IRF4_4-I==mut_MITF"	1.031827155	1	"MM099"
"95"	"IRF4_4-I==mut_SOX"	1.008395893	1	"MM099"
"96"	"IRF4_4-I==mut_ZEB"	0.98634242	1	"MM099"
"97"	"TYR_-9-D"	0.982531233	1	"MM099"
"98"	"TYR_-9-D==mut_SOX"	0.978360661	1	"MM099"
"99"	"SOX10_15-3UA"	1.033960543	1	"MM099"
"100"	"SOX10_15-3UA==mut_ZEB"	1.020983044	1	"MM099"
"101"	"SOX10_15-3UA==mut_SOX-ZEB"	1.024407001	1	"MM099"
"102"	"SOX10_-56-DA"	1.007391602	1	"MM099"
"103"	"SOX10_-56-DA==mut_ZEB"	1.056634854	1	"MM099"
"104"	"SOX10_-56-DA==mut_MITF-ZEB"	0.972327746	1	"MM099"
"105"	"ABCC3_11-I"	1.630696998	2	"MM099"
"106"	"ABCC3_11-I==mut_AP1"	1.268981049	2	"MM099"
"107"	"ABCC3_11-I==mut_ZEB"	1.544375852	2	"MM099"
"108"	"COL5A1_-17-D"	1.277589673	2	"MM099"
"109"	"COL5A1_-17-D==mut_AP1"	1.190145095	2	"MM099"
"110"	"COL5A1_-17-D==mut_ZEB"	1.248628067	2	"MM099"
"111"	"GPR39_23-I"	2.060365641	2	"MM099"
"112"	"GPR39_23-I==mut_AP1"	1.193534931	2	"MM099"
"113"	"MLANA_5-I"	1.212339029	2	"MM099"
"114"	"MLANA_5-I==mut_MITF"	1.14794512	2	"MM099"
"115"	"MLANA_5-I==mut_SOX"	1.179283498	2	"MM099"
"116"	"MLANA_5-I==mut_ZEB"	1.193860474	2	"MM099"
"117"	"IRF4_4-I"	1.121397799	2	"MM099"
"118"	"IRF4_4-I==mut_MITF"	1.07924887	2	"MM099"
"119"	"IRF4_4-I==mut_SOX"	1.090615044	2	"MM099"
"120"	"IRF4_4-I==mut_ZEB"	1.069655116	2	"MM099"
"121"	"TYR_-9-D"	1.07201108	2	"MM099"
"122"	"TYR_-9-D==mut_SOX"	1.047282237	2	"MM099"
"123"	"SOX10_15-3UA"	1.111192721	2	"MM099"
"124"	"SOX10_15-3UA==mut_ZEB"	1.099522069	2	"MM099"
"125"	"SOX10_15-3UA==mut_SOX-ZEB"	1.060147073	2	"MM099"
"126"	"SOX10_-56-DA"	1.069674014	2	"MM099"
"127"	"SOX10_-56-DA==mut_ZEB"	1.169701303	2	"MM099"
"128"	"SOX10_-56-DA==mut_MITF-ZEB"	1.129659744	2	"MM099"
"129"	"ABCC3_11-I"	1.546006015	3	"MM099"
"130"	"ABCC3_11-I==mut_AP1"	1.220270542	3	"MM099"
"131"	"ABCC3_11-I==mut_ZEB"	1.429692268	3	"MM099"
"132"	"COL5A1_-17-D"	1.205480969	3	"MM099"
"133"	"COL5A1_-17-D==mut_AP1"	1.108680736	3	"MM099"
"134"	"COL5A1_-17-D==mut_ZEB"	1.169699276	3	"MM099"
"135"	"GPR39_23-I"	2.21644518	3	"MM099"
"136"	"GPR39_23-I==mut_AP1"	1.139872846	3	"MM099"
"137"	"MLANA_5-I"	1.200885506	3	"MM099"
"138"	"MLANA_5-I==mut_MITF"	1.121004161	3	"MM099"
"139"	"MLANA_5-I==mut_SOX"	1.127554179	3	"MM099"
"140"	"MLANA_5-I==mut_ZEB"	1.167141272	3	"MM099"
"141"	"IRF4_4-I"	1.089146033	3	"MM099"
"142"	"IRF4_4-I==mut_MITF"	1.071873708	3	"MM099"
"143"	"IRF4_4-I==mut_SOX"	1.025738772	3	"MM099"
"144"	"IRF4_4-I==mut_ZEB"	1.04024073	3	"MM099"
"145"	"TYR_-9-D"	1.071895085	3	"MM099"
"146"	"TYR_-9-D==mut_SOX"	1.049615363	3	"MM099"
"147"	"SOX10_15-3UA"	1.128254933	3	"MM099"
"148"	"SOX10_15-3UA==mut_ZEB"	1.079072819	3	"MM099"
"149"	"SOX10_15-3UA==mut_SOX-ZEB"	1.065201581	3	"MM099"
"150"	"SOX10_-56-DA"	1.067987953	3	"MM099"
"151"	"SOX10_-56-DA==mut_ZEB"	1.142622525	3	"MM099"
"152"	"SOX10_-56-DA==mut_MITF-ZEB"	1.121777506	3	"MM099"
